ct0=BDMAP_00059234 / ct1=BDMAP_00042737
ct0=BDMAP_00062966 / ct1=BDMAP_00062404
ct0=BDMAP_00178329 / ct1=BDMAP_00182444
ct0=BDMAP_00056305 / ct1=BDMAP_00069528
ct0=BDMAP_00045420 / ct1=BDMAP_00052482
ct0=BDMAP_00182742 / ct1=BDMAP_00177768
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00184971 / ct1=BDMAP_00180468
ct0=BDMAP_00167614 / ct1=BDMAP_00169818
ct0=BDMAP_00051675 / ct1=BDMAP_00052324
ct0=BDMAP_00061916 / ct1=BDMAP_00060992
ct0=BDMAP_00039437 / ct1=BDMAP_00042309
ct0=BDMAP_00069528 / ct1=BDMAP_00042099
ct0=BDMAP_00168898 / ct1=BDMAP_00167614
ct0=BDMAP_00056879 / ct1=BDMAP_00068864
ct0=BDMAP_00062404 / ct1=BDMAP_00062966
ct0=BDMAP_00173923 / ct1=BDMAP_00167373
ct0=BDMAP_00062404 / ct1=BDMAP_00062966
ct0=BDMAP_00061219 / ct1=BDMAP_00062017
ct0=BDMAP_00040631 / ct1=BDMAP_00052624
ct0=BDMAP_00174524 / ct1=BDMAP_00167470
ct0=BDMAP_00062166 / ct1=BDMAP_00061856
ct0=BDMAP_00042099 / ct1=BDMAP_00056483
ct0=BDMAP_00044895 / ct1=BDMAP_00040565
ct0=BDMAP_00062907 / ct1=BDMAP_00059154
ct0=BDMAP_00037061 / ct1=BDMAP_00062922
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00175904 / ct1=BDMAP_00185239
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00182444 / ct1=BDMAP_00180709
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00059154 / ct1=BDMAP_00058988
ct0=BDMAP_00175904 / ct1=BDMAP_00175436
ct0=BDMAP_00058988 / ct1=BDMAP_00059154
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00061864 / ct1=BDMAP_00037994
ct0=BDMAP_00069426 / ct1=BDMAP_00069443
ct0=BDMAP_00045139 / ct1=BDMAP_00041477
ct0=BDMAP_00052624 / ct1=BDMAP_00040631
ct0=BDMAP_00040739 / ct1=BDMAP_00069231
ct0=BDMAP_00062056 / ct1=BDMAP_00062404
ct0=BDMAP_00165898 / ct1=BDMAP_00167723
ct0=BDMAP_00167614 / ct1=BDMAP_00169818
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00061678 / ct1=BDMAP_00037994
ct0=BDMAP_00061429 / ct1=BDMAP_00062400
ct0=BDMAP_00182444 / ct1=BDMAP_00178329
ct0=BDMAP_00044109 / ct1=BDMAP_00040598
ct0=BDMAP_00039588 / ct1=BDMAP_00061856
ct0=BDMAP_00062404 / ct1=BDMAP_00062056
ct0=BDMAP_00069443 / ct1=BDMAP_00069528
ct0=BDMAP_00061429 / ct1=BDMAP_00062400
ct0=BDMAP_00039437 / ct1=BDMAP_00039963
